id,images,detected,coverage,bbox_frac_mean
ABHAY,14.0,0.0,0.0,
ANR,471.0,1.0,0.0021231422505307855,0.07651841224294596
AamairKhan,540.0,3.0,0.005555555555555556,0.07877299985349324
Aarthi,223.0,4.0,0.017937219730941704,0.3639994692309061
Aditi,14.0,0.0,0.0,
Aisvarrya,14.0,1.0,0.07142857142857142,0.005767194801401869
AkshayKumar,479.0,2.0,0.0041753653444676405,0.02108078301626689
Ali,286.0,4.0,0.013986013986013986,0.2567053925811554
Ambresh,302.0,6.0,0.019867549668874173,0.4012176364478715
AmitabhBachchan,345.0,5.0,0.014492753623188406,0.304259779937832
AmrishPuri,303.0,3.0,0.009900990099009901,0.15042152020962263
AnilKapoor,523.0,0.0,0.0,
Annapoorna,398.0,2.0,0.005025125628140704,0.2703942916167025
AnupamKher,304.0,1.0,0.003289473684210526,0.09452411994784876
Ashwath,226.0,0.0,0.0,
Avinash,259.0,2.0,0.007722007722007722,0.03864017769933664
Ayusha,14.0,1.0,0.07142857142857142,0.02849026233111266
BabuMohan,372.0,0.0,0.0,
Balakrishna,219.0,3.0,0.0136986301369863,0.2631011910806756
Bhanupriya,278.0,0.0,0.0,
Bharathi,386.0,1.0,0.0025906735751295338,0.09340659340659341
BomanIrani,218.0,2.0,0.009174311926605505,0.16601656871762002
Brahmanandam,574.0,2.0,0.003484320557491289,0.3057951025938831
Chinoy,14.0,5.0,0.35714285714285715,0.03150146484375
Cochinhaneefa,236.0,1.0,0.00423728813559322,0.16449289468561418
Dileep,252.0,8.0,0.031746031746031744,0.5145940233309922
Dr.Rajkumar,488.0,9.0,0.018442622950819672,0.20472841958425464
Dwarkish,297.0,4.0,0.013468013468013467,0.2030025266543319
FaridaJalal,504.0,3.0,0.005952380952380952,0.15989101137757353
HrithikRoshan,473.0,0.0,0.0,
Innocent,414.0,7.0,0.016908212560386472,0.45167205497915586
Jagadeesh,400.0,2.0,0.005,0.08800475866057701
JagapathiBabu,444.0,1.0,0.0022522522522522522,0.13946459412780657
Jagathi,258.0,2.0,0.007751937984496124,0.2985840966004597
Jamuna,408.0,0.0,0.0,
JayaBhaduri,339.0,1.0,0.0029498525073746312,0.053475935828877004
Jayaprakash,421.0,1.0,0.0023752969121140144,0.08787593984962407
Jayram,334.0,2.0,0.005988023952095809,0.38155218275700203
JosePrakash,261.0,0.0,0.0,
K.Viswanath,249.0,0.0,0.0,
KajalAgarwal,352.0,0.0,0.0,
Kajol,499.0,0.0,0.0,
KareenaKapoor,410.0,3.0,0.007317073170731708,0.28872032429303107
KarunaBenerjee,214.0,0.0,0.0,
KatrinaKaif,408.0,0.0,0.0,
KavyaMadhavan,239.0,0.0,0.0,
KotaSrinivasarao,274.0,1.0,0.0036496350364963502,0.09545454545454546
Lakshmidevi,219.0,2.0,0.0091324200913242,0.5173463161127635
Leelavathi,223.0,2.0,0.008968609865470852,0.23441212812470297
Loknath,257.0,0.0,0.0,
M.S.Narayana,347.0,1.0,0.002881844380403458,0.35353535353535354
MEGHANA,14.0,3.0,0.21428571428571427,0.029594793189571148
MadhabiMukherjee,200.0,0.0,0.0,
Madhavan,366.0,1.0,0.00273224043715847,0.13849431818181818
Madhu,289.0,2.0,0.006920415224913495,0.4817682317682318
Madhura,14.0,2.0,0.14285714285714285,0.07010208333333334
MadhuriDixit,548.0,0.0,0.0,
Mallikarjunrao,204.0,0.0,0.0,
Mammukoya,252.0,0.0,0.0,
Mamootty,264.0,2.0,0.007575757575757576,0.13140851498489559
Mohanlal,561.0,2.0,0.0035650623885918,0.1167487472300564
Mukesh,221.0,2.0,0.00904977375565611,0.2429592482154152
NTR,345.0,1.0,0.002898550724637681,0.06766917293233082
Nagarjuna,444.0,3.0,0.006756756756756757,0.33542863399083256
NedumudiVenu,202.0,1.0,0.0049504950495049506,0.0784313725490196
Neha,14.0,0.0,0.0,
PareshRaval,347.0,0.0,0.0,
Pavithralokesh,217.0,1.0,0.004608294930875576,0.5853658536585366
PrakashRaj,376.0,2.0,0.005319148936170213,0.04474267149828948
Prema,329.0,0.0,0.0,
