condition,accuracy,detection_rate,correct,detected,total,model
original,0.4666666666666667,1.0,70,150,150,Buffalo_L
brightness_0.8,0.4666666666666667,1.0,70,150,150,Buffalo_L
brightness_0.6,0.43333333333333335,1.0,65,150,150,Buffalo_L
gaussian_noise_5,0.47333333333333333,1.0,71,150,150,Buffalo_L
gaussian_noise_15,0.4,1.0,60,150,150,Buffalo_L
gaussian_noise_25,0.36,1.0,54,150,150,Buffalo_L
blur_3,0.47333333333333333,1.0,71,150,150,Buffalo_L
blur_7,0.47333333333333333,1.0,71,150,150,Buffalo_L
blur_11,0.46,1.0,69,150,150,Buffalo_L
jpeg_90,0.47333333333333333,1.0,71,150,150,Buffalo_L
jpeg_50,0.4533333333333333,1.0,68,150,150,Buffalo_L
jpeg_20,0.43333333333333335,1.0,65,150,150,Buffalo_L
eye_bar,0.3933333333333333,1.0,59,150,150,Buffalo_L
mouth_mask,0.35333333333333333,1.0,53,150,150,Buffalo_L
full_mask,0.28,1.0,42,150,150,Buffalo_L
original,0.52,1.0,78,150,150,AntelopeV2
brightness_0.8,0.5333333333333333,1.0,80,150,150,AntelopeV2
brightness_0.6,0.5066666666666667,1.0,76,150,150,AntelopeV2
gaussian_noise_5,0.42,1.0,63,150,150,AntelopeV2
gaussian_noise_15,0.41333333333333333,1.0,62,150,150,AntelopeV2
gaussian_noise_25,0.2733333333333333,1.0,41,150,150,AntelopeV2
blur_3,0.42,1.0,63,150,150,AntelopeV2
blur_7,0.34,1.0,51,150,150,AntelopeV2
blur_11,0.31333333333333335,1.0,47,150,150,AntelopeV2
jpeg_90,0.5333333333333333,1.0,80,150,150,AntelopeV2
jpeg_50,0.5133333333333333,1.0,77,150,150,AntelopeV2
jpeg_20,0.44666666666666666,1.0,67,150,150,AntelopeV2
eye_bar,0.46,1.0,69,150,150,AntelopeV2
mouth_mask,0.38,1.0,57,150,150,AntelopeV2
full_mask,0.22666666666666666,1.0,34,150,150,AntelopeV2
original,0.12133333333333333,1.0,70,150,150,LBP+SVM
brightness_0.8,0.12133333333333333,1.0,70,150,150,LBP+SVM
brightness_0.6,0.11266666666666668,1.0,65,150,150,LBP+SVM
gaussian_noise_5,0.12306666666666667,1.0,71,150,150,LBP+SVM
gaussian_noise_15,0.10400000000000001,1.0,60,150,150,LBP+SVM
gaussian_noise_25,0.0936,1.0,54,150,150,LBP+SVM
blur_3,0.12306666666666667,1.0,71,150,150,LBP+SVM
blur_7,0.12306666666666667,1.0,71,150,150,LBP+SVM
blur_11,0.11960000000000001,1.0,69,150,150,LBP+SVM
jpeg_90,0.12306666666666667,1.0,71,150,150,LBP+SVM
jpeg_50,0.11786666666666666,1.0,68,150,150,LBP+SVM
jpeg_20,0.11266666666666668,1.0,65,150,150,LBP+SVM
eye_bar,0.10226666666666666,1.0,59,150,150,LBP+SVM
mouth_mask,0.09186666666666667,1.0,53,150,150,LBP+SVM
full_mask,0.0728,1.0,42,150,150,LBP+SVM
